customer_id,age,gender,monthly_income,tenure_months,monthly_charges,contract_type,city,has_dependents,tech_support,device_count,churned
C001,22,Male,35000,4,45.5,Monthly,Nairobi,No,No,1,1
C002,35,Female,72000,24,80.2,Yearly,Mombasa,Yes,Yes,3,0
C003,28,Male,48000,8,55.7,Monthly,Kisumu,No,Yes,2,1
C004,42,Female,95000,36,110.5,Yearly,Nairobi,Yes,Yes,4,0
C005,31,Male,52000,12,65.3,Monthly,Eldoret,Yes,No,2,0
C006,25,Female,41000,6,49.9,Monthly,Nakuru,No,No,1,1
C007,45,Male,120000,48,125.8,Yearly,Nairobi,Yes,Yes,5,0
C008,38,Female,68000,18,75.4,Monthly,Mombasa,Yes,No,3,1
C009,29,Male,46000,10,58.6,Monthly,Kisumu,No,Yes,2,0
C010,51,Female,135000,60,140.2,Yearly,Nairobi,Yes,Yes,6,0
C011,33,Male,59000,15,70.1,Monthly,Eldoret,Yes,No,2,1
C012,24,Female,39000,3,42.8,Monthly,Nakuru,No,No,1,1
C013,40,Male,88000,30,95.7,Yearly,Nairobi,Yes,Yes,4,0
C014,27,Female,47000,9,53.2,Monthly,Mombasa,No,Yes,2,1
C015,36,Male,76000,20,82.5,Yearly,Kisumu,Yes,Yes,3,0
C016,48,Female,110000,42,115.6,Yearly,Nairobi,Yes,Yes,5,0
C017,30,Male,51000,11,62.4,Monthly,Nakuru,No,No,2,1
C018,43,Female,92000,33,101.8,Yearly,Eldoret,Yes,Yes,4,0
C019,26,Male,43000,5,47.3,Monthly,Mombasa,No,No,1,1
C020,37,Female,71000,22,78.9,Yearly,Nairobi,Yes,No,3,0
C021,32,Male,55000,14,68.7,Monthly,Kisumu,Yes,Yes,2,1
C022,46,Female,102000,40,108.3,Yearly,Nairobi,Yes,Yes,5,0
C023,23,Male,37000,2,39.5,Monthly,Nakuru,No,No,1,1
C024,39,Female,83000,28,91.2,Yearly,Mombasa,Yes,Yes,4,0
C025,34,Male,63000,16,73.6,Monthly,Eldoret,Yes,No,3,1
C026,49,Female,115000,45,119.4,Yearly,Nairobi,Yes,Yes,5,0
C027,28,Female,49000,7,51.8,Monthly,Kisumu,No,No,2,1
C028,41,Male,89000,31,97.5,Yearly,Nairobi,Yes,Yes,4,0
C029,35,Female,67000,19,76.3,Monthly,Mombasa,Yes,No,3,1
C030,52,Male,140000,61,145.7,Yearly,Nairobi,Yes,Yes,6,0
