Age,Salary,Department,Education,City,Experience,Promoted
23,45000,IT,Bachelors,Nairobi,1,No
31,72000,Finance,Masters,Mombasa,5,Yes
28,58000,IT,Bachelors,Nairobi,3,No
42,95000,HR,PhD,Kisumu,12,Yes
35,68000,Marketing,Masters,Nairobi,7,Yes
24,42000,Finance,Bachelors,Eldoret,1,No
29,61000,IT,Masters,Nakuru,4,No
38,83000,HR,Bachelors,Mombasa,9,Yes
26,50000,Marketing,Bachelors,Kisumu,2,No
45,110000,Finance,PhD,Nairobi,18,Yes
27,54000,IT,Bachelors,Eldoret,3,No
33,76000,Finance,Masters,Nairobi,6,Yes
30,63000,Marketing,Bachelors,Mombasa,5,No
41,90000,HR,Masters,Kisumu,11,Yes
36,71000,IT,Masters,Nakuru,8,Yes
25,47000,Finance,Bachelors,Nairobi,2,No
32,67000,Marketing,Masters,Eldoret,6,Yes
39,85000,HR,Bachelors,Nairobi,10,Yes
28,56000,IT,Bachelors,Mombasa,3,No
44,102000,Finance,PhD,Kisumu,16,Yes
22,40000,Marketing,Bachelors,Nakuru,1,No
34,70000,IT,Masters,Nairobi,7,Yes
37,79000,Finance,Masters,Mombasa,9,Yes
29,59000,HR,Bachelors,Eldoret,4,No
43,98000,IT,PhD,Nairobi,15,Yes
26,51000,Marketing,Bachelors,Nakuru,2,No
31,65000,HR,Masters,Kisumu,6,Yes
35,74000,Finance,Bachelors,Nairobi,8,Yes
27,53000,IT,Bachelors,Mombasa,3,No
40,88000,Marketing,Masters,Eldoret,12,Yes
24,43000,HR,Bachelors,Nairobi,1,No
33,69000,IT,Masters,Kisumu,7,Yes
38,82000,Finance,Masters,Nakuru,10,Yes
30,60000,Marketing,Bachelors,Nairobi,5,No
46,115000,HR,PhD,Mombasa,19,Yes
25,48000,IT,Bachelors,Eldoret,2,No
36,77000,Finance,Masters,Nairobi,9,Yes
29,57000,Marketing,Bachelors,Kisumu,4,No
42,93000,IT,PhD,Nakuru,14,Yes
32,66000,HR,Masters,Mombasa,6,Yes
23,41000,Finance,Bachelors,Nairobi,1,No
37,80000,Marketing,Masters,Eldoret,10,Yes
28,55000,IT,Bachelors,Kisumu,3,No
34,73000,HR,Masters,Nairobi,8,Yes
41,91000,Finance,PhD,Mombasa,13,Yes
26,49000,Marketing,Bachelors,Nakuru,2,No
39,86000,IT,Masters,Nairobi,11,Yes
30,62000,HR,Bachelors,Eldoret,5,No
35,75000,Finance,Masters,Kisumu,8,Yes
27,52000,Marketing,Bachelors,Mombasa,3,No
