Study_Hours,Attendance,Previous_Score,Entrance_Score,Admitted
2,75,82,52,Yes
10,58,56,87,Yes
8,61,46,58,No
6,97,69,79,Yes
6,63,79,66,Yes
11,65,90,60,Yes
2,94,74,41,Yes
9,100,64,63,Yes
3,64,57,45,No
2,72,68,78,No
7,79,64,85,No
12,93,56,55,Yes
9,66,93,69,Yes
10,74,89,56,Yes
9,84,82,57,Yes
10,80,57,75,Yes
7,72,78,64,Yes
2,75,76,88,No
11,62,73,59,No
6,74,83,78,No
7,73,76,66,Yes
5,78,77,75,Yes
3,70,76,59,No
12,81,72,64,Yes
10,86,47,63,Yes
8,78,69,54,Yes
5,80,61,74,Yes
10,77,53,73,Yes
7,76,88,73,Yes
6,69,89,85,Yes
6,79,84,84,Yes
3,75,71,60,No
2,97,84,70,Yes
7,92,68,57,Yes
11,80,70,65,No
1,68,55,57,No
11,65,73,86,Yes
10,88,69,70,Yes
4,79,52,62,Yes
8,81,67,81,Yes
2,59,67,37,No
10,85,90,39,No
9,81,79,75,Yes
5,65,68,66,Yes
1,71,71,68,No
12,79,69,48,Yes
6,77,66,65,No
11,73,55,91,Yes
9,75,66,76,Yes
10,73,59,67,Yes
10,78,53,59,Yes
3,91,74,60,No
5,50,73,37,No
6,74,47,68,No
6,78,67,76,Yes
1,79,80,45,No
7,72,81,56,No
2,58,80,50,No
9,79,68,52,Yes
9,93,58,66,Yes
12,61,55,38,No
9,85,72,73,Yes
5,73,73,75,Yes
12,75,83,62,Yes
5,65,81,35,No
4,73,66,52,No
11,89,53,81,Yes
5,82,64,35,No
1,93,71,60,Yes
6,88,66,50,No
10,80,61,75,Yes
3,93,71,56,Yes
6,80,62,70,No
2,84,60,72,No
9,73,72,89,Yes
6,77,63,62,Yes
4,69,71,70,Yes
3,86,71,46,Yes
7,64,54,80,Yes
9,84,62,55,No
12,74,85,58,Yes
6,88,54,65,Yes
2,84,43,45,No
10,94,46,68,Yes
8,83,68,78,Yes
9,60,68,69,Yes
2,75,67,44,No
4,64,83,63,Yes
10,71,40,75,No
10,91,73,41,Yes
6,82,87,51,Yes
10,69,54,76,Yes
11,66,63,69,Yes
5,76,59,70,Yes
11,64,57,89,Yes
4,69,64,71,No
3,79,85,74,Yes
9,88,90,95,Yes
8,82,64,62,Yes
2,53,91,55,No
10,79,68,71,Yes
3,77,89,71,Yes
10,80,67,58,Yes
1,92,70,52,No
10,55,72,95,No
10,70,95,69,Yes
10,82,78,55,Yes
8,60,60,77,Yes
6,91,80,64,Yes
9,80,64,62,No
4,84,62,72,No
10,70,79,48,No
7,84,68,70,Yes
6,87,71,90,Yes
7,78,68,71,Yes
7,78,72,60,Yes
1,79,73,58,Yes
2,67,45,60,No
3,75,76,62,No
2,74,56,60,No
6,80,51,77,No
9,86,67,42,Yes
8,65,69,76,Yes
6,75,60,60,Yes
11,91,78,70,Yes
7,69,52,50,No
1,68,63,82,Yes
10,78,61,81,Yes
7,84,67,77,No
8,76,71,45,Yes
7,89,56,76,Yes
7,85,77,70,No
2,84,69,44,No
7,82,45,65,No
10,99,44,70,No
4,74,68,72,Yes
8,56,65,67,Yes
1,92,67,69,Yes
5,71,68,84,No
6,77,71,81,Yes
12,89,79,35,Yes
3,60,55,61,No
4,63,54,63,No
5,60,55,42,No
12,68,71,66,No
11,80,83,81,Yes
1,81,63,51,No
3,79,40,69,No
10,62,48,53,No
1,53,58,56,No
11,77,61,84,Yes
4,71,63,58,No
12,81,68,71,No
4,83,64,41,No
6,77,81,89,Yes
8,84,60,73,Yes
2,78,58,63,No
7,81,74,72,Yes
7,69,50,47,No
10,74,73,80,Yes
12,78,69,61,Yes
8,84,66,62,Yes
5,72,87,59,No
